Sample	HET_HOMVAR_RATIO	TOTAL_SNPS	NUM_IN_DB_SNP	NOVEL_SNPS	FILTERED_SNPS	PCT_DBSNP	DBSNP_TITV	NOVEL_TITV	TOTAL_INDELS	NOVEL_INDELS	FILTERED_INDELS	PCT_DBSNP_INDELS	NUM_IN_DB_SNP_INDELS	DBSNP_INS_DEL_RATIO	NOVEL_INS_DEL_RATIO	TOTAL_MULTIALLELIC_SNPS	NUM_IN_DB_SNP_MULTIALLELIC	TOTAL_COMPLEX_INDELS	NUM_IN_DB_SNP_COMPLEX_INDELS	SNP_REFERENCE_BIAS	NUM_SINGLETONS	total_called_variants	total_called_variants_known	total_called_variants_novel	PCT_GQ0_VARIANTS	TOTAL_GQ0_VARIANTS	TOTAL_HET_DEPTH
1101290	1.587247	3872518	3723659	148859	0	0.96156	2.043142	1.32233	836974	71442	0	0.914643	765532	0.960515	1.082189	1392	1310	75568	71752	0.530834	2940226	4786452	4562253	224199			
1101584	1.604241	3853660	3707927	145733	0	0.962183	2.042859	1.248827	830055	69458	0	0.916321	760597	0.957028	1.071147	1410	1293	73512	70090	0.529084	2935100	4758637	4539907	218730			
2232635	1.741225	3998981	3796634	202347	0	0.9494	2.041619	1.361246	860338	78375	0	0.908902	781963	0.964662	1.058491	1565	1480	82764	78544	0.527877	3144371	4943648	4658621	285027			
3304985	1.5853	3852060	3703954	148106	0	0.961551	2.044615	1.187132	827015	68933	0	0.916648	758082	0.957316	1.074296	1447	1372	69462	66167	0.530753	2916298	4749984	4529575	220409			
AAACK	1.900815	3897552	3593501	304051	0	0.921989	2.042864	1.120403	859719	130236	0	0.848513	729483	0.884326	0.77426	12202	10223	208215	185819	0.538563	3269538	4977688	4519026	458662	0.001692	8442	70965522
AAAEP	2.066016	3977984	3611328	366656	0	0.907829	2.037834	0.973688	918091	187957	0	0.795274	730134	0.875717	0.790425	11592	9970	186426	166495	0.540333	3442469	5094093	4517927	576166	0.001971	10067	72407410
AAAET	1.9882	3939112	3610009	329103	0	0.916452	2.035723	1.029608	875830	144029	0	0.835551	731801	0.870753	0.753949	11613	9866	189547	170419	0.539577	3345843	5016102	4522095	494007	0.001731	8707	69959693
AAAMK	2.082781	4022354	3588962	433392	0	0.892254	2.036285	0.834603	1003756	277251	0	0.723786	726505	0.873459	0.829255	11522	9934	189259	166048	0.549823	3544060	5226891	4491449	735442	0.002079	10905	71193248
AAANH	2.072349	4054316	3592151	462165	0	0.886007	2.038821	0.831466	1057712	328021	0	0.689877	729691	0.881171	0.842804	11780	10160	177574	157709	0.55333	3589211	5301382	4489711	811671	0.001928	10257	69249937
AAAPY	2.06604	4048560	3605729	442831	0	0.89062	2.039567	0.817451	1017149	288812	0	0.716057	728337	0.875615	0.827843	11183	9597	174121	153578	0.548381	3550857	5251013	4497241	753772	0.002222	11707	69239884
AAASI	2.003595	3946442	3631727	314715	0	0.920253	2.040412	1.136515	871016	136384	0	0.84342	734632	0.877073	0.757322	12671	10751	209259	187291	0.538066	3369696	5039388	4564401	474987	0.00138	6969	72384577
AAASK	1.939766	3910703	3607011	303692	0	0.922343	2.041135	1.127469	868100	133842	0	0.845822	734258	0.876976	0.752455	12438	10559	205209	183372	0.537227	3304709	4996450	4535200	461250	0.001439	7209	71157137
AAATL	1.906002	3901283	3595489	305794	0	0.921617	2.042657	1.112756	862775	131013	0	0.848149	731762	0.855729	0.693834	10858	9302	185816	166896	0.536777	3260721	4960732	4503449	457283	0.001747	8686	66180164
AABGN	1.964833	3879227	3597935	281292	0	0.927488	2.039764	1.109648	822618	113935	0	0.861497	708683	0.894793	0.801116	11623	9787	211332	188094	0.530506	3271849	4924800	4504499	420301	0.001891	9335	71964630
AACOI	1.923762	3897146	3597059	300087	0	0.922998	2.040923	1.134574	866589	133374	0	0.846093	733215	0.872845	0.744112	11844	10152	198664	177769	0.536833	3280327	4974243	4518195	456048	0.001636	8155	71890984
AACYO	1.974025	3915123	3585409	329714	0	0.915785	2.029031	0.979491	907571	186535	0	0.794468	721036	0.879489	1.354675	12228	10412	223760	199227	0.537192	3368020	5058682	4516084	542598	0.002298	11660	68508014
BABFD	1.881133	3715834	3421177	294657	0	0.920702	2.033001	1.061937	819060	125130	0	0.847227	693930	0.891761	0.871775	10069	8586	189752	169017	0.540423	3097770	4734715	4292710	442005	0.001509	7160	71980774
